dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.501709,2.707074,0.000040,0.004000,0.200000,10.000000,6.282313
0.020000,4.501709,2.707074,0.000160,0.008000,0.200000,0.000000,6.282397
0.020000,4.501709,2.707074,0.000360,0.012000,0.200000,0.000000,6.282539
0.020000,4.501709,2.707074,0.000640,0.016000,0.200000,0.000000,6.282736
0.020000,4.501709,2.707074,0.001000,0.020000,0.200000,0.000000,6.282990
0.020000,4.501873,2.707074,0.001440,0.024000,0.200000,0.000000,0.000115
0.020000,4.502393,2.707075,0.001960,0.028000,0.200000,0.000000,0.000481
0.020000,4.502993,2.707075,0.002560,0.032000,0.200000,0.000000,0.000902
0.020000,4.503673,2.707076,0.003240,0.036000,0.200000,-0.000000,0.001378
0.020000,4.504433,2.707077,0.004000,0.040000,0.200000,0.000000,0.001908
0.020000,4.505273,2.707079,0.004840,0.044000,0.200000,-0.000000,0.002493
0.020000,4.506193,2.707081,0.005760,0.048000,0.200000,0.000000,0.003131
0.020000,4.507193,2.707085,0.006760,0.052000,0.200000,-0.000000,0.003822
0.020000,4.508273,2.707089,0.007840,0.056000,0.200000,0.000000,0.004565
0.020000,4.509433,2.707095,0.009000,0.060000,0.200000,-0.000000,0.005360
0.020000,4.510673,2.707102,0.010240,0.064000,0.200000,0.000000,0.006206
0.020000,4.511993,2.707111,0.011560,0.068000,0.200000,0.000000,0.007103
0.020000,4.513393,2.707122,0.012960,0.072000,0.200000,-0.000000,0.008048
0.020000,4.514872,2.707134,0.014440,0.076000,0.200000,0.000000,0.009042
0.020000,4.516432,2.707149,0.016000,0.080000,0.200000,0.000000,0.010084
0.020000,4.518072,2.707167,0.017640,0.084000,0.200000,0.000000,0.011172
0.020000,4.519792,2.707187,0.019360,0.088000,0.200000,-0.000000,0.012306
0.020000,4.521592,2.707210,0.021160,0.092000,0.200000,0.000000,0.013484
0.020000,4.523472,2.707237,0.023040,0.096000,0.200000,0.000000,0.014705
0.020000,4.525432,2.707267,0.025000,0.100000,0.200000,0.000000,0.015969
0.020000,4.527471,2.707301,0.027040,0.104000,0.200000,-0.000000,0.017274
0.020000,4.529591,2.707339,0.029160,0.108000,0.200000,0.000000,0.018619
0.020000,4.531791,2.707381,0.031360,0.112000,0.200000,0.000000,0.020003
0.020000,4.534070,2.707428,0.033640,0.116000,0.200000,0.000000,0.021423
0.020000,4.536430,2.707481,0.036000,0.120000,0.200000,-0.000000,0.022880
0.020000,4.538869,2.707538,0.038440,0.124000,0.200000,0.000000,0.024370
0.020000,4.541388,2.707602,0.040960,0.128000,0.200000,0.000000,0.025894
0.020000,4.543987,2.707671,0.043560,0.132000,0.200000,0.000000,0.027450
0.020000,4.546666,2.707747,0.046240,0.136000,0.200000,0.000000,0.029035
0.020000,4.549425,2.707829,0.049000,0.140000,0.200000,0.000000,0.030648
0.020000,4.552263,2.707918,0.051840,0.144000,0.200000,-0.000000,0.032289
0.020000,4.555182,2.708015,0.054760,0.148000,0.200000,0.000000,0.033954
0.020000,4.558180,2.708119,0.057760,0.152000,0.200000,0.000000,0.035643
0.020000,4.561258,2.708232,0.060840,0.156000,0.200000,0.000000,0.037354
0.020000,4.564416,2.708353,0.064000,0.160000,0.200000,0.000000,0.039084
0.020000,4.567653,2.708482,0.067240,0.164000,0.200000,0.000000,0.040833
0.020000,4.570970,2.708621,0.070560,0.168000,0.200000,0.000000,0.042598
0.020000,4.574367,2.708768,0.073960,0.172000,0.200000,-0.000000,0.044377
0.020000,4.577843,2.708926,0.077440,0.176000,0.200000,0.000000,0.046169
0.020000,4.581399,2.709093,0.081000,0.180000,0.200000,0.000000,0.047971
0.020000,4.585035,2.709271,0.084640,0.184000,0.200000,0.000000,0.049782
0.020000,4.588750,2.709460,0.088360,0.188000,0.200000,0.000000,0.051600
0.020000,4.592545,2.709659,0.092160,0.192000,0.200000,0.000000,0.053422
0.020000,4.596419,2.709870,0.096040,0.196000,0.200000,0.000000,0.055247
0.020000,4.600373,2.710092,0.100000,0.200000,0.200000,0.000000,0.057072
0.020000,4.604406,2.710326,0.104040,0.204000,0.200000,-0.000000,0.058895
0.020000,4.608519,2.710573,0.108160,0.208000,0.200000,0.000000,0.060714
0.020000,4.612711,2.710831,0.112360,0.212000,0.200000,0.000000,0.062527
0.020000,4.616982,2.711103,0.116640,0.216000,0.200000,0.000000,0.064332
0.020000,4.621333,2.711387,0.121000,0.220000,0.200000,0.000000,0.066127
0.020000,4.625763,2.711684,0.125440,0.224000,0.200000,0.000000,0.067909
0.020000,4.630272,2.711995,0.129960,0.228000,0.200000,0.000000,0.069675
0.020000,4.634861,2.712319,0.134560,0.232000,0.200000,0.000000,0.071425
0.020000,4.639529,2.712657,0.139240,0.236000,0.200000,-0.000000,0.073154
0.020000,4.644276,2.713009,0.144000,0.240000,0.200000,0.000000,0.074861
0.020000,4.649102,2.713375,0.148840,0.244000,0.200000,0.000000,0.076544
0.020000,4.654007,2.713755,0.153760,0.248000,0.200000,0.000000,0.078200
0.020000,4.658992,2.714150,0.158760,0.252000,0.200000,0.000000,0.079827
0.020000,4.664055,2.714559,0.163840,0.256000,0.200000,0.000000,0.081422
0.020000,4.669198,2.714983,0.169000,0.260000,0.200000,0.000000,0.082982
0.020000,4.674419,2.715421,0.174240,0.264000,0.200000,0.000000,0.084505
0.020000,4.679720,2.715874,0.179560,0.268000,0.200000,0.000000,0.085989
0.020000,4.685100,2.716342,0.184960,0.272000,0.200000,0.000000,0.087431
0.020000,4.690558,2.716824,0.190440,0.276000,0.200000,0.000000,0.088828
