dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500960,2.992073,0.000007,0.000667,0.033333,1.666667,0.002631
0.020000,4.500981,2.992073,0.000028,0.001056,0.019485,-0.692429,0.002556
0.020000,4.501028,2.992074,0.000075,0.002377,0.066026,2.327082,0.002390
0.020000,4.501107,2.992074,0.000155,0.003962,0.079241,0.660746,0.002112
0.020000,4.501218,2.992074,0.000266,0.005547,0.079259,0.000871,0.001722
0.020000,4.501361,2.992074,0.000408,0.007133,0.079283,0.001212,0.001222
0.020000,4.501535,2.992074,0.000583,0.008719,0.079314,0.001545,0.000610
0.020000,4.501782,2.992074,0.000829,0.012344,0.181244,5.096483,6.283072
0.020000,4.502320,2.992074,0.001368,0.026908,0.728219,27.348797,6.282237
0.020000,4.502930,2.992073,0.001977,0.030491,0.179147,-27.453604,6.281290
0.020000,4.503612,2.992072,0.002659,0.034086,0.179725,0.028878,6.280231
0.020000,4.504366,2.992069,0.003413,0.037703,0.180867,0.057108,6.279059
0.020000,4.505192,2.992065,0.004239,0.041289,0.179319,-0.077400,6.277775
0.020000,4.506090,2.992059,0.005137,0.044925,0.181785,0.123318,6.276378
0.020000,4.507061,2.992052,0.006108,0.048522,0.179851,-0.096738,6.274867
0.020000,4.508104,2.992043,0.007151,0.052155,0.181663,0.090638,6.273242
0.020000,4.509219,2.992031,0.008267,0.055781,0.181302,-0.018050,6.271503
0.020000,4.510407,2.992016,0.009455,0.059403,0.181079,-0.011189,6.269650
0.020000,4.511668,2.991997,0.010716,0.063053,0.182526,0.072385,6.267682
0.020000,4.513002,2.991975,0.012050,0.066702,0.182438,-0.004429,6.265597
0.020000,4.514409,2.991949,0.013457,0.070350,0.182372,-0.003311,6.263397
0.020000,4.515889,2.991918,0.014937,0.074007,0.182848,0.023804,6.261081
0.020000,4.517442,2.991882,0.016490,0.077673,0.183301,0.022645,6.258648
0.020000,4.519068,2.991840,0.018117,0.081347,0.183730,0.021452,6.256097
0.020000,4.520768,2.991791,0.019818,0.085030,0.184134,0.020223,6.253428
0.020000,4.522542,2.991736,0.021592,0.088720,0.184513,0.018957,6.250641
0.020000,4.524389,2.991673,0.023441,0.092417,0.184866,0.017651,6.247735
0.020000,4.526310,2.991602,0.025363,0.096121,0.185192,0.016304,6.244709
0.020000,4.528305,2.991522,0.027360,0.099831,0.185491,0.014914,6.241563
0.020000,4.530374,2.991433,0.029431,0.103546,0.185760,0.013478,6.238296
0.020000,4.532517,2.991333,0.031576,0.107279,0.186655,0.044754,6.234908
0.020000,4.534735,2.991222,0.033797,0.111023,0.187164,0.025440,6.231398
0.020000,4.537027,2.991099,0.036092,0.114755,0.186594,-0.028511,6.227766
0.020000,4.539393,2.990963,0.038462,0.118509,0.187739,0.057269,6.224011
0.020000,4.541834,2.990814,0.040907,0.122271,0.188077,0.016909,6.220132
0.020000,4.544349,2.990650,0.043428,0.126027,0.187804,-0.013667,6.216130
0.020000,4.546939,2.990471,0.046024,0.129808,0.189074,0.063489,6.212003
0.020000,4.549603,2.990275,0.048696,0.133581,0.188604,-0.023480,6.207752
0.020000,4.552342,2.990062,0.051443,0.137360,0.188970,0.018288,6.203376
0.020000,4.555156,2.989830,0.054266,0.141161,0.190072,0.055122,6.198873
0.020000,4.558044,2.989580,0.057165,0.144946,0.189246,-0.041320,6.194245
