dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500000,3.000000,0.000000,0.000039,0.001962,0.098105,0.000000
0.020000,4.500000,3.000000,0.000002,0.000118,0.003924,0.098105,0.000000
0.020000,4.500000,3.000000,0.000005,0.000235,0.005886,0.098105,0.000000
0.020000,4.500000,3.000000,0.000012,0.000392,0.007848,0.098105,0.000000
0.020000,4.500000,3.000000,0.000022,0.000589,0.009810,0.098105,0.000000
0.020000,4.500000,3.000000,0.000036,0.000824,0.011773,0.098105,0.000000
0.020000,4.500000,3.000000,0.000055,0.001099,0.013735,0.098105,0.000000
0.020000,4.500000,3.000000,0.000080,0.001413,0.015697,0.098105,0.000000
0.020000,4.500000,3.000000,0.000112,0.001766,0.017659,0.098105,0.000000
0.020000,4.500000,3.000000,0.000151,0.002158,0.019621,0.098105,0.000000
0.020000,4.500000,3.000000,0.000199,0.002590,0.021583,0.098105,0.000000
0.020000,4.500055,3.000000,0.000255,0.003061,0.023545,0.098105,0.000000
0.020000,4.500121,3.000000,0.000321,0.003571,0.025507,0.098105,0.000000
0.020000,4.500198,3.000000,0.000398,0.004120,0.027469,0.098105,0.000000
0.020000,4.500287,3.000000,0.000487,0.004709,0.029431,0.098105,0.000000
0.020000,4.500387,3.000000,0.000587,0.005337,0.031393,0.098105,0.000000
0.020000,4.500500,3.000000,0.000700,0.006004,0.033356,0.098105,0.000000
0.020000,4.500628,3.000000,0.000828,0.006710,0.035318,0.098105,0.000000
0.020000,4.500769,3.000000,0.000969,0.007456,0.037280,0.098105,0.000000
0.020000,4.500926,3.000000,0.001126,0.008241,0.039242,0.098105,0.000000
0.020000,4.501099,3.000000,0.001299,0.009065,0.041204,0.098105,0.000000
0.020000,4.501289,3.000000,0.001489,0.009928,0.043166,0.098105,0.000000
0.020000,4.501497,3.000000,0.001697,0.010831,0.045128,0.098105,0.000000
0.020000,4.501723,3.000000,0.001923,0.011773,0.047090,0.098105,0.000000
0.020000,4.501968,3.000000,0.002168,0.012754,0.049052,0.098105,0.000000
0.020000,4.502233,3.000000,0.002433,0.013774,0.051014,0.098105,0.000000
0.020000,4.502519,3.000000,0.002719,0.014833,0.052976,0.098105,0.000000
0.020000,4.502827,3.000000,0.003027,0.015932,0.054939,0.098105,0.000000
0.020000,4.503157,3.000000,0.003357,0.017070,0.056901,0.098105,0.000000
0.020000,4.503510,3.000000,0.003710,0.018247,0.058863,0.098105,0.000000
0.020000,4.503887,3.000000,0.004087,0.019464,0.060825,0.098105,0.000000
0.020000,4.504289,3.000000,0.004489,0.020720,0.062787,0.098105,0.000000
0.020000,4.504717,3.000000,0.004917,0.022015,0.064749,0.098105,0.000000
0.020000,4.505170,3.000000,0.005370,0.023349,0.066711,0.098105,0.000000
0.020000,4.505651,3.000000,0.005851,0.024722,0.068673,0.098105,0.000000
0.020000,4.506160,3.000000,0.006360,0.026135,0.070635,0.098105,0.000000
0.020000,4.506697,3.000000,0.006897,0.027587,0.072597,0.098105,0.000000
0.020000,4.507263,3.000000,0.007463,0.029078,0.074559,0.098105,0.000000
0.020000,4.507860,3.000000,0.008060,0.030609,0.076522,0.098105,0.000000
0.020000,4.508488,3.000000,0.008688,0.032178,0.078484,0.098105,0.000000
0.020000,4.509148,3.000000,0.009348,0.033787,0.080446,0.098105,0.000000
0.020000,4.509840,3.000000,0.010040,0.035435,0.082408,0.098105,0.000000
0.020000,4.510566,3.000000,0.010766,0.037123,0.084370,0.098105,0.000000
0.020000,4.511325,3.000000,0.011525,0.038849,0.086332,0.098105,0.000000
0.020000,4.512120,3.000000,0.012320,0.040615,0.088294,0.098105,0.000000
0.020000,4.512950,3.000000,0.013150,0.042420,0.090256,0.098105,0.000000
0.020000,4.513817,3.000000,0.014017,0.044265,0.092218,0.098105,0.000000
0.020000,4.514721,3.000000,0.014921,0.046148,0.094180,0.098105,0.000000
0.020000,4.515664,3.000000,0.015864,0.048071,0.096142,0.098105,0.000000
0.020000,4.516645,3.000000,0.016845,0.050033,0.098105,0.098105,0.000000
0.020000,4.517665,3.000000,0.017865,0.051995,0.098105,0.000000,0.000000
0.020000,4.518724,3.000000,0.018924,0.053918,0.096142,-0.098105,0.000000
0.020000,4.519821,3.000000,0.020021,0.055802,0.094180,-0.098105,0.000000
0.020000,4.520956,3.000000,0.021156,0.057646,0.092218,-0.098105,0.000000
0.020000,4.522127,3.000000,0.022327,0.059451,0.090256,-0.098105,0.000000
0.020000,4.523333,3.000000,0.023533,0.061217,0.088294,-0.098105,0.000000
0.020000,4.524575,3.000000,0.024775,0.062944,0.086332,-0.098105,0.000000
0.020000,4.525851,3.000000,0.026051,0.064631,0.084370,-0.098105,0.000000
0.020000,4.527160,3.000000,0.027360,0.066279,0.082408,-0.098105,0.000000
0.020000,4.528501,3.000000,0.028701,0.067888,0.080446,-0.098105,0.000000
0.020000,4.529875,3.000000,0.030075,0.069458,0.078484,-0.098105,0.000000
0.020000,4.531279,3.000000,0.031479,0.070988,0.076522,-0.098105,0.000000
0.020000,4.532714,3.000000,0.032914,0.072480,0.074559,-0.098105,0.000000
0.020000,4.534178,3.000000,0.034378,0.073932,0.072597,-0.098105,0.000000
0.020000,4.535671,3.000000,0.035871,0.075344,0.070635,-0.098105,0.000000
0.020000,4.537192,3.000000,0.037392,0.076718,0.068673,-0.098105,0.000000
0.020000,4.538739,3.000000,0.038939,0.078052,0.066711,-0.098105,0.000000
0.020000,4.540313,3.000000,0.040513,0.079347,0.064749,-0.098105,0.000000
0.020000,4.541913,3.000000,0.042113,0.080603,0.062787,-0.098105,0.000000
0.020000,4.543537,3.000000,0.043737,0.081819,0.060825,-0.098105,0.000000
0.020000,4.545185,3.000000,0.045385,0.082996,0.058863,-0.098105,0.000000
0.020000,4.546856,3.000000,0.047056,0.084134,0.056901,-0.098105,0.000000
0.020000,4.548550,3.000000,0.048750,0.085233,0.054939,-0.098105,0.000000
0.020000,4.550265,3.000000,0.050465,0.086293,0.052976,-0.098105,0.000000
0.020000,4.552001,3.000000,0.052201,0.087313,0.051014,-0.098105,0.000000
0.020000,4.553758,3.000000,0.053958,0.088294,0.049052,-0.098105,0.000000
0.020000,4.555533,3.000000,0.055733,0.089236,0.047090,-0.098105,0.000000
0.020000,4.557327,3.000000,0.057527,0.090138,0.045128,-0.098105,0.000000
0.020000,4.559138,3.000000,0.059338,0.091002,0.043166,-0.098105,0.000000
0.020000,4.560966,3.000000,0.061166,0.091826,0.041204,-0.098105,0.000000
0.020000,4.562811,3.000000,0.063011,0.092611,0.039242,-0.098105,0.000000
0.020000,4.564670,3.000000,0.064870,0.093356,0.037280,-0.098105,0.000000
0.020000,4.566544,3.000000,0.066744,0.094063,0.035318,-0.098105,0.000000
