dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.501958,2.992074,0.000040,0.004000,0.200000,10.000000,6.282313
0.020000,4.501934,2.992074,0.000064,0.001209,-0.139535,-16.976748,6.282397
0.020000,4.501894,2.992074,0.000104,0.002014,0.040252,8.989352,6.282539
0.020000,4.501837,2.992074,0.000161,0.002818,0.040165,-0.004346,6.282736
0.020000,4.501765,2.992074,0.000233,0.003619,0.040043,-0.006083,6.282990
0.020000,4.501840,2.992074,0.000308,0.003753,0.006749,-1.664714,0.000115
0.020000,4.502256,2.992075,0.000724,0.020790,0.851801,42.252565,0.000481
0.020000,4.502736,2.992075,0.001204,0.024002,0.160640,-34.558015,0.000902
0.020000,4.503280,2.992075,0.001748,0.027217,0.160716,0.003780,0.001378
0.020000,4.503889,2.992076,0.002357,0.030441,0.161215,0.024960,0.001908
0.020000,4.504562,2.992078,0.003031,0.033670,0.161431,0.010780,0.002493
0.020000,4.505300,2.992080,0.003769,0.036906,0.161841,0.020510,0.003131
0.020000,4.506103,2.992083,0.004572,0.040152,0.162289,0.022410,0.003822
0.020000,4.506972,2.992086,0.005440,0.043406,0.162718,0.021445,0.004565
0.020000,4.507905,2.992091,0.006373,0.046670,0.163187,0.023456,0.005360
0.020000,4.508904,2.992097,0.007372,0.049944,0.163696,0.025458,0.006206
0.020000,4.509968,2.992104,0.008437,0.053229,0.164245,0.027451,0.007103
0.020000,4.511099,2.992113,0.009567,0.056526,0.164834,0.029435,0.008048
0.020000,4.512296,2.992123,0.010764,0.059835,0.165462,0.031408,0.009042
0.020000,4.513559,2.992135,0.012027,0.063158,0.166129,0.033369,0.010084
0.020000,4.514888,2.992149,0.013357,0.066494,0.166836,0.035319,0.011172
0.020000,4.516285,2.992165,0.014754,0.069845,0.167514,0.033897,0.012306
0.020000,4.517749,2.992184,0.016218,0.073210,0.168247,0.036644,0.013484
0.020000,4.519281,2.992206,0.017750,0.076592,0.169147,0.045026,0.014705
0.020000,4.520881,2.992230,0.019350,0.079988,0.169785,0.031907,0.015969
0.020000,4.522548,2.992258,0.021018,0.083405,0.170819,0.051661,0.017274
0.020000,4.524285,2.992289,0.022755,0.086836,0.171587,0.038400,0.018619
0.020000,4.526090,2.992324,0.024560,0.090287,0.172525,0.046912,0.020003
0.020000,4.527965,2.992363,0.026435,0.093757,0.173513,0.049406,0.021423
0.020000,4.529909,2.992406,0.028380,0.097246,0.174470,0.047875,0.022880
0.020000,4.531924,2.992454,0.030395,0.100756,0.175463,0.049648,0.024370
0.020000,4.534009,2.992506,0.032481,0.104286,0.176491,0.051399,0.025894
0.020000,4.536165,2.992564,0.034638,0.107837,0.177554,0.053128,0.027450
0.020000,4.538392,2.992627,0.036866,0.111410,0.178651,0.054834,0.029035
0.020000,4.540691,2.992695,0.039166,0.115005,0.179781,0.056515,0.030648
0.020000,4.543063,2.992770,0.041539,0.118624,0.180944,0.058170,0.032289
0.020000,4.545507,2.992851,0.043984,0.122267,0.182140,0.059797,0.033954
0.020000,4.548024,2.992938,0.046503,0.125934,0.183334,0.059686,0.035643
0.020000,4.550615,2.993033,0.049095,0.129623,0.184484,0.057504,0.037354
0.020000,4.553279,2.993135,0.051762,0.133341,0.185891,0.070334,0.039084
0.020000,4.556019,2.993244,0.054504,0.137081,0.187014,0.056146,0.040833
0.020000,4.558833,2.993362,0.057321,0.140851,0.188493,0.073975,0.042598
