dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.501461,2.422075,0.000040,0.004000,0.200000,10.000000,6.282313
0.020000,4.501485,2.422074,0.000064,0.001209,-0.139535,-16.976748,6.282397
0.020000,4.501525,2.422074,0.000104,0.002014,0.040252,8.989352,6.282539
0.020000,4.501581,2.422074,0.000161,0.002818,0.040165,-0.004346,6.282736
0.020000,4.501654,2.422074,0.000233,0.003619,0.040043,-0.006083,6.282990
0.020000,4.501905,2.422074,0.000485,0.012586,0.448361,20.415854,0.000115
0.020000,4.502530,2.422075,0.001109,0.031209,0.931161,24.140039,0.000481
0.020000,4.503250,2.422075,0.001829,0.036000,0.239573,-34.579422,0.000902
0.020000,4.504065,2.422076,0.002645,0.040781,0.239012,-0.028071,0.001378
0.020000,4.504976,2.422078,0.003556,0.045561,0.238996,-0.000780,0.001908
0.020000,4.505983,2.422080,0.004563,0.050330,0.238467,-0.026469,0.002493
0.020000,4.507085,2.422083,0.005664,0.055093,0.238140,-0.016324,0.003131
0.020000,4.508282,2.422087,0.006861,0.059848,0.237782,-0.017903,0.003822
0.020000,4.509574,2.422092,0.008153,0.064594,0.237307,-0.023727,0.004565
0.020000,4.510960,2.422099,0.009540,0.069331,0.236806,-0.025081,0.005360
0.020000,4.512441,2.422108,0.011021,0.074056,0.236277,-0.026426,0.006206
0.020000,4.514017,2.422118,0.012596,0.078771,0.235722,-0.027763,0.007103
0.020000,4.515686,2.422131,0.014266,0.083473,0.235140,-0.029091,0.008048
0.020000,4.517449,2.422146,0.016029,0.088164,0.234532,-0.030411,0.009042
0.020000,4.519306,2.422164,0.017886,0.092842,0.233898,-0.031721,0.010084
0.020000,4.521256,2.422185,0.019836,0.097507,0.233237,-0.033023,0.011172
0.020000,4.523299,2.422209,0.021879,0.102156,0.232453,-0.039222,0.012306
0.020000,4.525435,2.422236,0.024015,0.106789,0.231668,-0.039249,0.013484
0.020000,4.527663,2.422267,0.026243,0.111410,0.231046,-0.031076,0.014705
0.020000,4.529983,2.422303,0.028563,0.116009,0.229963,-0.054144,0.015969
0.020000,4.532394,2.422343,0.030975,0.120597,0.229375,-0.029391,0.017274
0.020000,4.534897,2.422388,0.033479,0.125163,0.228325,-0.052510,0.018619
0.020000,4.537491,2.422438,0.036073,0.129712,0.227445,-0.044016,0.020003
0.020000,4.540175,2.422494,0.038758,0.134243,0.226560,-0.044240,0.021423
0.020000,4.542950,2.422555,0.041533,0.138755,0.225557,-0.050172,0.022880
0.020000,4.545814,2.422623,0.044398,0.143245,0.224531,-0.051292,0.024370
