dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.499884,2.992074,0.000000,0.000040,0.001984,0.099178,0.000408
0.020000,4.499884,2.992074,0.000001,0.000017,-0.001151,-0.156740,0.000407
0.020000,4.499885,2.992074,0.000001,0.000037,0.001040,0.109580,0.000405
0.020000,4.499886,2.992074,0.000003,0.000067,0.001456,0.020801,0.000400
0.020000,4.499888,2.992074,0.000005,0.000104,0.001872,0.020791,0.000393
0.020000,4.499891,2.992074,0.000008,0.000150,0.002288,0.020774,0.000382
0.020000,4.499895,2.992074,0.000012,0.000204,0.002703,0.020749,0.000368
0.020000,4.499901,2.992074,0.000017,0.000266,0.003117,0.020714,0.000349
0.020000,4.499907,2.992074,0.000024,0.000337,0.003530,0.020668,0.000325
0.020000,4.499916,2.992074,0.000032,0.000416,0.003943,0.020609,0.000296
0.020000,4.499926,2.992074,0.000042,0.000503,0.004353,0.020536,0.000261
0.020000,4.499938,2.992074,0.000054,0.000598,0.004762,0.020446,0.000219
0.020000,4.499952,2.992074,0.000068,0.000701,0.005169,0.020338,0.000170
0.020000,4.499968,2.992074,0.000085,0.000813,0.005573,0.020211,0.000113
0.020000,4.499987,2.992074,0.000103,0.000932,0.005974,0.020062,0.000047
0.020000,4.500045,2.992074,0.000161,0.002906,0.098678,4.635196,6.283158
0.020000,4.500183,2.992074,0.000300,0.006927,0.201077,5.119955,6.283074
0.020000,4.500338,2.992074,0.000455,0.007765,0.041872,-7.960282,6.282981
0.020000,4.500511,2.992074,0.000628,0.008650,0.044241,0.118485,6.282876
0.020000,4.500703,2.992074,0.000820,0.009582,0.046601,0.117964,6.282760
0.020000,4.500914,2.992074,0.001031,0.010560,0.048934,0.116668,6.282633
0.020000,4.501146,2.992074,0.001263,0.011587,0.051313,0.118960,6.282494
0.020000,4.501399,2.992074,0.001516,0.012660,0.053649,0.116785,6.282342
0.020000,4.501675,2.992074,0.001792,0.013779,0.055958,0.115470,6.282177
0.020000,4.501974,2.992073,0.002090,0.014945,0.058320,0.118098,6.281998
0.020000,4.502297,2.992073,0.002414,0.016157,0.060593,0.113612,6.281805
0.020000,4.502645,2.992072,0.002762,0.017416,0.062938,0.117275,6.281598
0.020000,4.503020,2.992072,0.003136,0.018720,0.065188,0.112492,6.281375
0.020000,4.503421,2.992071,0.003538,0.020070,0.067509,0.116034,6.281138
0.020000,4.503850,2.992070,0.003967,0.021465,0.069740,0.111574,6.280884
0.020000,4.504308,2.992069,0.004425,0.022905,0.072010,0.113506,6.280614
0.020000,4.504796,2.992068,0.004913,0.024390,0.074253,0.112150,6.280328
0.020000,4.505314,2.992066,0.005431,0.025919,0.076462,0.110434,6.280025
0.020000,4.505864,2.992064,0.005981,0.027492,0.078658,0.109820,6.279705
0.020000,4.506447,2.992062,0.006563,0.029109,0.080858,0.109970,6.279367
0.020000,4.507062,2.992060,0.007179,0.030770,0.083022,0.108196,6.279012
0.020000,4.507711,2.992057,0.007828,0.032473,0.085166,0.107215,6.278639
0.020000,4.508396,2.992053,0.008513,0.034219,0.087289,0.106180,6.278248
0.020000,4.509116,2.992050,0.009233,0.036007,0.089391,0.105090,6.277838
0.020000,4.509873,2.992046,0.009989,0.037836,0.091470,0.103943,6.277410
0.020000,4.510667,2.992041,0.010784,0.039707,0.093525,0.102739,6.276964
0.020000,4.511499,2.992035,0.011616,0.041617,0.095530,0.100275,6.276499
0.020000,4.512370,2.992029,0.012487,0.043568,0.097548,0.100893,6.276015
0.020000,4.513282,2.992023,0.013398,0.045559,0.099527,0.098916,6.275513
0.020000,4.514233,2.992015,0.014350,0.047587,0.101435,0.095428,6.274992
0.020000,4.515226,2.992007,0.015343,0.049655,0.103374,0.096962,6.274453
0.020000,4.516261,2.991997,0.016378,0.051759,0.105222,0.092367,6.273895
0.020000,4.517339,2.991987,0.017456,0.053901,0.107090,0.093427,6.273320
0.020000,4.518461,2.991976,0.018578,0.056078,0.108866,0.088775,6.272727
0.020000,4.519627,2.991963,0.019744,0.058291,0.110647,0.089068,6.272116
0.020000,4.520837,2.991949,0.020954,0.060516,0.111216,0.028461,6.271489
0.020000,4.522091,2.991934,0.022209,0.062727,0.110587,-0.031463,6.270845
0.020000,4.523390,2.991918,0.023507,0.064926,0.109936,-0.032534,6.270186
0.020000,4.524732,2.991900,0.024849,0.067111,0.109264,-0.033604,6.269513
0.020000,4.526117,2.991880,0.026235,0.069283,0.108571,-0.034672,6.268827
0.020000,4.527546,2.991859,0.027664,0.071440,0.107856,-0.035739,6.268129
0.020000,4.529018,2.991837,0.029136,0.073582,0.107120,-0.036825,6.267420
0.020000,4.530532,2.991812,0.030650,0.075709,0.106332,-0.039388,6.266701
0.020000,4.532088,2.991786,0.032206,0.077821,0.105578,-0.037676,6.265972
0.020000,4.533686,2.991758,0.033804,0.079916,0.104756,-0.041094,6.265236
0.020000,4.535325,2.991728,0.035444,0.081994,0.103932,-0.041231,6.264493
0.020000,4.537006,2.991696,0.037125,0.084056,0.103073,-0.042928,6.263745
0.020000,4.538728,2.991662,0.038847,0.086100,0.102215,-0.042925,6.262992
0.020000,4.540490,2.991626,0.040610,0.088126,0.101307,-0.045400,6.262237
0.020000,4.542292,2.991587,0.042413,0.090134,0.100388,-0.045924,6.261479
0.020000,4.544134,2.991546,0.044255,0.092123,0.099458,-0.046497,6.260722
0.020000,4.546016,2.991503,0.046137,0.094093,0.098497,-0.048079,6.259965
0.020000,4.547936,2.991458,0.048058,0.096043,0.097515,-0.049094,6.259211
0.020000,4.549895,2.991410,0.050017,0.097974,0.096513,-0.050112,6.258460
0.020000,4.551892,2.991360,0.052015,0.099883,0.095489,-0.051169,6.257714
0.020000,4.553927,2.991308,0.054050,0.101772,0.094430,-0.052981,6.256976
0.020000,4.555999,2.991253,0.056123,0.103640,0.093379,-0.052526,6.256245
0.020000,4.558108,2.991195,0.058233,0.105486,0.092294,-0.054258,6.255524
0.020000,4.560253,2.991135,0.060379,0.107309,0.091161,-0.056633,6.254814
0.020000,4.562434,2.991072,0.062561,0.109110,0.090059,-0.055134,6.254117
0.020000,4.564651,2.991007,0.064779,0.110888,0.088880,-0.058908,6.253435
0.020000,4.566903,2.990939,0.067032,0.112642,0.087725,-0.057789,6.252768
0.020000,4.569189,2.990869,0.069319,0.114373,0.086527,-0.059880,6.252120
0.020000,4.571510,2.990796,0.071641,0.116079,0.085304,-0.061176,6.251491
0.020000,4.573864,2.990721,0.073996,0.117760,0.084067,-0.061832,6.250883
0.020000,4.576251,2.990643,0.076385,0.119416,0.082810,-0.062829,6.250298
0.020000,4.578670,2.990563,0.078805,0.121047,0.081528,-0.064113,6.249737
0.020000,4.581122,2.990480,0.081258,0.122651,0.080224,-0.065181,6.249204
0.020000,4.583605,2.990395,0.083743,0.124229,0.078895,-0.066462,6.248699
0.020000,4.586119,2.990307,0.086259,0.125780,0.077548,-0.067379,6.248224
0.020000,4.588664,2.990218,0.088805,0.127304,0.076181,-0.068350,6.247781
0.020000,4.591238,2.990126,0.091381,0.128799,0.074786,-0.069725,6.247373
0.020000,4.593842,2.990032,0.093986,0.130267,0.073363,-0.071160,6.247001
0.020000,4.596474,2.989937,0.096620,0.131705,0.071931,-0.071588,6.246667
0.020000,4.599135,2.989839,0.099282,0.133115,0.070459,-0.073618,6.246374
0.020000,4.601823,2.989740,0.101972,0.134494,0.068976,-0.074159,6.246122
0.020000,4.604538,2.989639,0.104689,0.135843,0.067462,-0.075702,6.245916
0.020000,4.607279,2.989536,0.107432,0.137162,0.065921,-0.077012,6.245756
0.020000,4.610046,2.989433,0.110201,0.138449,0.064359,-0.078133,6.245645
0.020000,4.612838,2.989328,0.112995,0.139704,0.062769,-0.079473,6.245585
0.020000,4.615655,2.989222,0.115814,0.140927,0.061153,-0.080833,6.245578
0.020000,4.618495,2.989115,0.118656,0.142117,0.059509,-0.082189,6.245627
0.020000,4.621358,2.989007,0.121521,0.143255,0.056859,-0.132504,6.245735
0.020000,4.624242,2.988899,0.124408,0.144319,0.053232,-0.181340,6.245902
0.020000,4.627147,2.988791,0.127314,0.145312,0.049620,-0.180599,6.246132
0.020000,4.630069,2.988684,0.130239,0.146232,0.046026,-0.179680,6.246427
0.020000,4.633009,2.988576,0.133180,0.147081,0.042458,-0.178403,6.246789
0.020000,4.635964,2.988469,0.136138,0.147859,0.038900,-0.177911,6.247220
0.020000,4.638934,2.988363,0.139109,0.148567,0.035374,-0.176318,6.247723
0.020000,4.641916,2.988258,0.142093,0.149204,0.031856,-0.175864,6.248299
0.020000,4.644910,2.988154,0.145088,0.149772,0.028378,-0.173903,6.248951
0.020000,4.647913,2.988053,0.148094,0.150270,0.024907,-0.173577,6.249681
0.020000,4.650926,2.987953,0.151108,0.150699,0.021466,-0.172058,6.250490
0.020000,4.653945,2.987855,0.154129,0.151060,0.018050,-0.170766,6.251382
0.020000,4.656971,2.987761,0.157156,0.151353,0.014660,-0.169502,6.252357
0.020000,4.660001,2.987669,0.160188,0.151579,0.011298,-0.168122,6.253418
0.020000,4.663034,2.987580,0.163222,0.151738,0.007957,-0.167061,6.254567
0.020000,4.666070,2.987495,0.166259,0.151831,0.004647,-0.165458,6.255805
0.020000,4.669106,2.987414,0.169296,0.151859,0.001368,-0.163990,6.257135
0.020000,4.672141,2.987337,0.172333,0.151821,-0.001887,-0.162726,6.258557
0.020000,4.675175,2.987265,0.175367,0.151719,-0.005110,-0.161168,6.260075
0.020000,4.678205,2.987197,0.178398,0.151553,-0.008303,-0.159629,6.261689
0.020000,4.681231,2.987134,0.181424,0.151323,-0.011461,-0.157917,6.263401
0.020000,4.684251,2.987077,0.184445,0.151032,-0.014572,-0.155559,6.265214
0.020000,4.687264,2.987026,0.187459,0.150678,-0.017681,-0.155449,6.267127
0.020000,4.690269,2.986981,0.190464,0.150264,-0.020729,-0.152364,6.269144
0.020000,4.693265,2.986942,0.193460,0.149789,-0.023741,-0.150615,6.271264
0.020000,4.696250,2.986910,0.196445,0.149254,-0.026733,-0.149628,6.273491
0.020000,4.699223,2.986884,0.199418,0.148661,-0.029655,-0.146080,6.275824
0.020000,4.702183,2.986866,0.202378,0.148010,-0.032570,-0.145746,6.278266
0.020000,4.705129,2.986855,0.205324,0.147301,-0.035415,-0.142254,6.280817
0.020000,4.708060,2.986852,0.208255,0.146537,-0.038225,-0.140508,0.000294
