dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500000,2.707074,0.000000,0.000040,0.001984,0.099178,0.000408
0.020000,4.500000,2.707074,0.000002,0.000119,0.003967,0.099178,0.000407
0.020000,4.500000,2.707074,0.000006,0.000238,0.005951,0.099178,0.000405
0.020000,4.500000,2.707074,0.000012,0.000397,0.007934,0.099178,0.000400
0.020000,4.500000,2.707074,0.000022,0.000595,0.009918,0.099178,0.000393
0.020000,4.500000,2.707074,0.000036,0.000833,0.011901,0.099178,0.000382
0.020000,4.500000,2.707074,0.000056,0.001111,0.013885,0.099178,0.000368
0.020000,4.500000,2.707074,0.000081,0.001428,0.015869,0.099178,0.000349
0.020000,4.500000,2.707074,0.000113,0.001785,0.017852,0.099178,0.000325
0.020000,4.500000,2.707074,0.000153,0.002182,0.019836,0.099178,0.000296
0.020000,4.500000,2.707074,0.000201,0.002618,0.021819,0.099178,0.000261
0.020000,4.500000,2.707074,0.000258,0.003094,0.023803,0.099178,0.000219
0.020000,4.500000,2.707074,0.000325,0.003610,0.025786,0.099178,0.000170
0.020000,4.500000,2.707074,0.000403,0.004165,0.027770,0.099178,0.000113
0.020000,4.500000,2.707074,0.000492,0.004761,0.029754,0.099178,0.000047
0.020000,4.500037,2.707074,0.000593,0.005395,0.031737,0.099178,6.283158
0.020000,4.500152,2.707074,0.000708,0.006070,0.033721,0.099178,6.283074
0.020000,4.500280,2.707074,0.000837,0.006784,0.035704,0.099178,6.282981
0.020000,4.500423,2.707074,0.000980,0.007538,0.037688,0.099178,6.282876
0.020000,4.500582,2.707074,0.001139,0.008331,0.039671,0.099178,6.282760
0.020000,4.500757,2.707074,0.001314,0.009164,0.041655,0.099178,6.282633
0.020000,4.500949,2.707074,0.001506,0.010037,0.043639,0.099178,6.282494
0.020000,4.501159,2.707074,0.001715,0.010949,0.045622,0.099178,6.282342
0.020000,4.501387,2.707074,0.001944,0.011901,0.047606,0.099178,6.282177
0.020000,4.501635,2.707073,0.002192,0.012893,0.049589,0.099178,6.281998
0.020000,4.501903,2.707073,0.002460,0.013925,0.051573,0.099178,6.281805
0.020000,4.502193,2.707073,0.002749,0.014996,0.053556,0.099178,6.281598
0.020000,4.502504,2.707072,0.003060,0.016107,0.055540,0.099178,6.281375
0.020000,4.502837,2.707071,0.003394,0.017257,0.057524,0.099178,6.281138
0.020000,4.503194,2.707071,0.003751,0.018447,0.059507,0.099178,6.280884
0.020000,4.503576,2.707070,0.004132,0.019677,0.061491,0.099178,6.280614
0.020000,4.503982,2.707069,0.004538,0.020946,0.063474,0.099178,6.280328
0.020000,4.504414,2.707067,0.004970,0.022256,0.065458,0.099178,6.280025
0.020000,4.504872,2.707066,0.005429,0.023604,0.067441,0.099178,6.279705
0.020000,4.505358,2.707064,0.005915,0.024993,0.069425,0.099178,6.279367
0.020000,4.505873,2.707062,0.006429,0.026421,0.071409,0.099178,6.279012
0.020000,4.506416,2.707060,0.006972,0.027889,0.073392,0.099178,6.278639
0.020000,4.506989,2.707057,0.007545,0.029397,0.075376,0.099178,6.278248
0.020000,4.507592,2.707054,0.008149,0.030944,0.077359,0.099178,6.277838
0.020000,4.508227,2.707050,0.008783,0.032531,0.079343,0.099178,6.277410
0.020000,4.508894,2.707046,0.009450,0.034157,0.081326,0.099178,6.276964
0.020000,4.509593,2.707042,0.010150,0.035823,0.083310,0.099178,6.276499
0.020000,4.510327,2.707037,0.010883,0.037529,0.085294,0.099178,6.276015
0.020000,4.511095,2.707031,0.011651,0.039275,0.087277,0.099178,6.275513
0.020000,4.511898,2.707025,0.012455,0.041060,0.089261,0.099178,6.274992
0.020000,4.512738,2.707018,0.013294,0.042885,0.091244,0.099178,6.274453
0.020000,4.513614,2.707010,0.014171,0.044749,0.093228,0.099178,6.273895
0.020000,4.514528,2.707001,0.015085,0.046654,0.095211,0.099178,6.273320
0.020000,4.515480,2.706991,0.016037,0.048597,0.097195,0.099178,6.272727
0.020000,4.516472,2.706981,0.017029,0.050581,0.099178,0.099178,6.272116
0.020000,4.517503,2.706969,0.018060,0.052565,0.099178,-0.000000,6.271489
0.020000,4.518574,2.706956,0.019132,0.054548,0.099178,0.000000,6.270845
0.020000,4.519685,2.706942,0.020242,0.056532,0.099178,0.000000,6.270186
0.020000,4.520836,2.706926,0.021393,0.058515,0.099178,-0.000000,6.269513
0.020000,4.522026,2.706910,0.022583,0.060499,0.099178,0.000000,6.268827
0.020000,4.523255,2.706892,0.023813,0.062482,0.099178,-0.000000,6.268129
0.020000,4.524525,2.706872,0.025082,0.064466,0.099178,0.000000,6.267420
0.020000,4.525834,2.706851,0.026391,0.066450,0.099178,-0.000000,6.266701
0.020000,4.527182,2.706828,0.027740,0.068433,0.099178,0.000000,6.265972
0.020000,4.528570,2.706804,0.029129,0.070417,0.099178,0.000000,6.265236
0.020000,4.529998,2.706778,0.030557,0.072400,0.099178,0.000000,6.264493
0.020000,4.531466,2.706750,0.032025,0.074384,0.099178,-0.000000,6.263745
