dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500116,2.422074,0.000000,0.000040,0.001984,0.099178,0.000408
0.020000,4.500116,2.422074,0.000001,0.000017,-0.001151,-0.156740,0.000407
0.020000,4.500115,2.422074,0.000001,0.000037,0.001040,0.109580,0.000405
0.020000,4.500114,2.422074,0.000003,0.000067,0.001456,0.020801,0.000400
0.020000,4.500112,2.422074,0.000005,0.000104,0.001872,0.020791,0.000393
0.020000,4.500109,2.422074,0.000008,0.000150,0.002288,0.020774,0.000382
0.020000,4.500105,2.422074,0.000012,0.000204,0.002703,0.020749,0.000368
0.020000,4.500099,2.422074,0.000017,0.000266,0.003117,0.020714,0.000349
0.020000,4.500093,2.422074,0.000024,0.000337,0.003530,0.020668,0.000325
0.020000,4.500084,2.422074,0.000032,0.000416,0.003943,0.020609,0.000296
0.020000,4.500074,2.422074,0.000042,0.000503,0.004353,0.020536,0.000261
0.020000,4.500062,2.422074,0.000054,0.000598,0.004762,0.020446,0.000219
0.020000,4.500048,2.422074,0.000068,0.000701,0.005169,0.020338,0.000170
0.020000,4.500032,2.422074,0.000085,0.000813,0.005573,0.020211,0.000113
0.020000,4.500013,2.422074,0.000103,0.000932,0.005974,0.020062,0.000047
0.020000,4.500029,2.422074,0.000119,0.000786,-0.007291,-0.663284,6.283158
0.020000,4.500120,2.422074,0.000210,0.004537,0.187548,9.741964,6.283074
0.020000,4.500222,2.422074,0.000312,0.005089,0.027561,-7.999341,6.282981
0.020000,4.500335,2.422074,0.000425,0.005672,0.029162,0.080038,6.282876
0.020000,4.500461,2.422074,0.000551,0.006287,0.030765,0.080162,6.282760
0.020000,4.500600,2.422074,0.000689,0.006934,0.032362,0.079829,6.282633
0.020000,4.500752,2.422074,0.000842,0.007614,0.034000,0.081906,6.282494
0.020000,4.500918,2.422074,0.001008,0.008327,0.035622,0.081108,6.282342
0.020000,4.501100,2.422074,0.001190,0.009072,0.037241,0.080930,6.282177
0.020000,4.501297,2.422074,0.001387,0.009850,0.038909,0.083412,6.281998
0.020000,4.501510,2.422073,0.001600,0.010661,0.040534,0.081273,6.281805
0.020000,4.501740,2.422073,0.001830,0.011505,0.042226,0.084573,6.281598
0.020000,4.501988,2.422073,0.002078,0.012382,0.043873,0.082369,6.281375
0.020000,4.502254,2.422072,0.002343,0.013294,0.045588,0.085738,6.281138
0.020000,4.502538,2.422071,0.002628,0.014240,0.047266,0.083889,6.280884
0.020000,4.502843,2.422071,0.002933,0.015219,0.048993,0.086350,6.280614
0.020000,4.503168,2.422070,0.003257,0.016234,0.050727,0.086715,6.280328
0.020000,4.503513,2.422069,0.003603,0.017283,0.052465,0.086918,6.280025
0.020000,4.503881,2.422068,0.003970,0.018368,0.054224,0.087939,6.279705
0.020000,4.504270,2.422066,0.004360,0.019488,0.056015,0.089560,6.279367
0.020000,4.504683,2.422065,0.004773,0.020644,0.057815,0.089988,6.279012
0.020000,4.505120,2.422063,0.005210,0.021837,0.059636,0.091035,6.278639
0.020000,4.505581,2.422060,0.005671,0.023067,0.061479,0.092142,6.278248
0.020000,4.506068,2.422058,0.006158,0.024334,0.063345,0.093310,6.277838
0.020000,4.506581,2.422055,0.006671,0.025638,0.065236,0.094539,6.277410
0.020000,4.507120,2.422052,0.007210,0.026981,0.067152,0.095832,6.276964
0.020000,4.507688,2.422048,0.007777,0.028363,0.069080,0.096370,6.276499
0.020000,4.508283,2.422044,0.008373,0.029784,0.071062,0.099113,6.276015
0.020000,4.508908,2.422039,0.008998,0.031245,0.073066,0.100203,6.275513
0.020000,4.509563,2.422034,0.009653,0.032747,0.075073,0.100358,6.274992
0.020000,4.510249,2.422028,0.010339,0.034290,0.077155,0.104077,6.274453
0.020000,4.510966,2.422022,0.011056,0.035875,0.079229,0.103694,6.273895
0.020000,4.511716,2.422015,0.011806,0.037502,0.081375,0.107333,6.273320
0.020000,4.512500,2.422007,0.012590,0.039172,0.083518,0.107131,6.272727
0.020000,4.513317,2.421998,0.013407,0.040887,0.085728,0.110486,6.272116
0.020000,4.514170,2.421988,0.014260,0.042630,0.087148,0.071003,6.271489
0.020000,4.515058,2.421978,0.015148,0.044385,0.087771,0.031188,6.270845
0.020000,4.515981,2.421966,0.016071,0.046154,0.088419,0.032393,6.270186
0.020000,4.516939,2.421953,0.017030,0.047936,0.089091,0.033591,6.269513
0.020000,4.517934,2.421939,0.018024,0.049731,0.089787,0.034781,6.268827
0.020000,4.518964,2.421924,0.019055,0.051541,0.090506,0.035964,6.268129
0.020000,4.520032,2.421908,0.020122,0.053366,0.091248,0.037125,6.267420
0.020000,4.521136,2.421890,0.021226,0.055206,0.091992,0.037198,6.266701
0.020000,4.522277,2.421871,0.022368,0.057062,0.092800,0.040376,6.265972
0.020000,4.523455,2.421850,0.023546,0.058934,0.093596,0.039809,6.265236
0.020000,4.524671,2.421828,0.024763,0.060823,0.094429,0.041624,6.264493
0.020000,4.525926,2.421804,0.026017,0.062728,0.095274,0.042284,6.263745
0.020000,4.527219,2.421778,0.027310,0.064651,0.096158,0.044203,6.262992
0.020000,4.528550,2.421751,0.028642,0.066592,0.097043,0.044260,6.262237
0.020000,4.529921,2.421721,0.030013,0.068551,0.097959,0.045766,6.261479
0.020000,4.531331,2.421690,0.031424,0.070529,0.098904,0.047240,6.260722
0.020000,4.532781,2.421657,0.032874,0.072527,0.099862,0.047939,6.259965
0.020000,4.534272,2.421622,0.034365,0.074544,0.100844,0.049062,6.259211
0.020000,4.535803,2.421585,0.035897,0.076581,0.101847,0.050177,6.258460
0.020000,4.537375,2.421545,0.037470,0.078638,0.102872,0.051259,6.257714
0.020000,4.538989,2.421503,0.039084,0.080716,0.103907,0.051736,6.256976
0.020000,4.540645,2.421459,0.040740,0.082816,0.104987,0.054007,6.256245
0.020000,4.542343,2.421413,0.042439,0.084937,0.106078,0.054554,6.255524
0.020000,4.544084,2.421364,0.044181,0.087081,0.107169,0.054556,6.254814
0.020000,4.545868,2.421313,0.045966,0.089247,0.108323,0.057698,6.254117
0.020000,4.547696,2.421259,0.047794,0.091436,0.109455,0.056560,6.253435
0.020000,4.549568,2.421203,0.049667,0.093649,0.110643,0.059420,6.252768
0.020000,4.551485,2.421144,0.051585,0.095886,0.111836,0.059658,6.252120
0.020000,4.553447,2.421082,0.053548,0.098147,0.113047,0.060542,6.251491
0.020000,4.555454,2.421018,0.055557,0.100433,0.114286,0.061974,6.250883
0.020000,4.557508,2.420951,0.057612,0.102744,0.115549,0.063138,6.250298
0.020000,4.559609,2.420881,0.059713,0.105080,0.116831,0.064068,6.249737
0.020000,4.561756,2.420809,0.061862,0.107443,0.118135,0.065195,6.249204
0.020000,4.563952,2.420734,0.064059,0.109832,0.119458,0.066153,6.248699
0.020000,4.566195,2.420656,0.066304,0.112248,0.120807,0.067448,6.248224
0.020000,4.568488,2.420575,0.068597,0.114692,0.122181,0.068725,6.247781
0.020000,4.570829,2.420492,0.070941,0.117163,0.123574,0.069665,6.247373
0.020000,4.573221,2.420406,0.073334,0.119663,0.124986,0.070567,6.247001
0.020000,4.575663,2.420317,0.075778,0.122192,0.126434,0.072426,6.246667
0.020000,4.578157,2.420225,0.078273,0.124750,0.127891,0.072845,6.246374
0.020000,4.580702,2.420131,0.080820,0.127337,0.129385,0.074677,6.246122
0.020000,4.583299,2.420035,0.083419,0.129955,0.130897,0.075619,6.245916
0.020000,4.585949,2.419936,0.086071,0.132604,0.132433,0.076815,6.245756
0.020000,4.588653,2.419834,0.088776,0.135284,0.133998,0.078241,6.245645
0.020000,4.591411,2.419730,0.091536,0.137996,0.135588,0.079509,6.245585
0.020000,4.594224,2.419625,0.094351,0.140740,0.137205,0.080809,6.245578
0.020000,4.597092,2.419517,0.097221,0.143517,0.138848,0.082170,6.245627
0.020000,4.600016,2.419407,0.100148,0.146307,0.139514,0.033305,6.245735
0.020000,4.602996,2.419296,0.103129,0.149090,0.139177,-0.016869,6.245902
0.020000,4.606031,2.419183,0.106167,0.151867,0.138819,-0.017899,6.246132
0.020000,4.609122,2.419069,0.109259,0.154636,0.138442,-0.018836,6.246427
0.020000,4.612268,2.418953,0.112407,0.157397,0.138053,-0.019471,6.246789
0.020000,4.615468,2.418838,0.115610,0.160149,0.137632,-0.021024,6.247220
0.020000,4.618724,2.418721,0.118868,0.162893,0.137203,-0.021476,6.247723
0.020000,4.622035,2.418605,0.122181,0.165628,0.136738,-0.023244,6.248299
0.020000,4.625400,2.418488,0.125548,0.168354,0.136269,-0.023428,6.248951
0.020000,4.628819,2.418372,0.128969,0.171069,0.135759,-0.025506,6.249681
0.020000,4.632293,2.418257,0.132445,0.173773,0.135232,-0.026337,6.250490
0.020000,4.635820,2.418144,0.135974,0.176467,0.134682,-0.027493,6.251382
0.020000,4.639401,2.418031,0.139557,0.179149,0.134107,-0.028758,6.252357
0.020000,4.643036,2.417921,0.143193,0.181819,0.133508,-0.029968,6.253418
0.020000,4.646724,2.417814,0.146883,0.184477,0.132875,-0.031650,6.254567
0.020000,4.650465,2.417709,0.150625,0.187121,0.132219,-0.032773,6.255805
0.020000,4.654259,2.417607,0.154420,0.189752,0.131537,-0.034143,6.257135
0.020000,4.658105,2.417510,0.158268,0.192368,0.130819,-0.035870,6.258557
0.020000,4.662003,2.417417,0.162167,0.194970,0.130072,-0.037341,6.260075
0.020000,4.665953,2.417329,0.166118,0.197556,0.129293,-0.038945,6.261689
0.020000,4.669955,2.417246,0.170121,0.200125,0.128485,-0.040441,6.263401
0.020000,4.674008,2.417169,0.174174,0.202679,0.127661,-0.041183,6.265214
0.020000,4.678112,2.417100,0.178279,0.205214,0.126759,-0.045075,6.267127
0.020000,4.682266,2.417037,0.182433,0.207731,0.125857,-0.045132,6.269144
0.020000,4.686470,2.416982,0.186638,0.210229,0.124915,-0.047100,6.271264
0.020000,4.690724,2.416936,0.190892,0.212707,0.123908,-0.050336,6.273491
0.020000,4.695027,2.416900,0.195195,0.215165,0.122906,-0.050118,6.275824
0.020000,4.699379,2.416873,0.199547,0.217602,0.121812,-0.054675,6.278266
0.020000,4.703779,2.416857,0.203948,0.220016,0.120715,-0.054879,6.280817
0.020000,4.708227,2.416852,0.208396,0.222407,0.119558,-0.057809,0.000294
0.020000,4.712723,2.416860,0.212891,0.224774,0.118336,-0.061104,0.003068
0.020000,4.717265,2.416880,0.217434,0.227116,0.117115,-0.061065,0.005955
0.020000,4.721854,2.416914,0.222022,0.229432,0.115796,-0.065954,0.008955
0.020000,4.726488,2.416963,0.226657,0.231721,0.114435,-0.068073,0.012071
0.020000,4.731167,2.417027,0.231336,0.233981,0.113028,-0.070309,0.015302
0.020000,4.735890,2.417107,0.236060,0.236213,0.111591,-0.071869,0.018649
0.020000,4.740658,2.417204,0.240829,0.238414,0.110040,-0.077560,0.022112
0.020000,4.745468,2.417319,0.245640,0.240583,0.108455,-0.079215,0.025694
0.020000,4.750321,2.417453,0.250495,0.242719,0.106807,-0.082419,0.029393
0.020000,4.755215,2.417606,0.255391,0.244821,0.105092,-0.085751,0.033210
0.020000,4.760149,2.417780,0.260329,0.246887,0.103308,-0.089214,0.037146
0.020000,4.765124,2.417975,0.265307,0.248916,0.101455,-0.092634,0.041201
0.020000,4.770137,2.418192,0.270325,0.250907,0.099528,-0.096379,0.045374
0.020000,4.775189,2.418432,0.275383,0.252857,0.097511,-0.100843,0.049667
0.020000,4.780277,2.418696,0.280478,0.254765,0.095422,-0.104412,0.054078
0.020000,4.785402,2.418985,0.285610,0.256631,0.093251,-0.108558,0.058607
0.020000,4.790561,2.419300,0.290779,0.258450,0.090994,-0.112844,0.063254
0.020000,4.795754,2.419641,0.295984,0.260223,0.088649,-0.117268,0.068019
0.020000,4.800980,2.420010,0.301223,0.261948,0.086212,-0.121829,0.072900
0.020000,4.806237,2.420407,0.306495,0.263600,0.082596,-0.180835,0.077897
0.020000,4.811524,2.420833,0.311798,0.265177,0.078855,-0.187017,0.083009
0.020000,4.816838,2.421289,0.317132,0.266698,0.076089,-0.138339,0.088234
0.020000,4.822179,2.421776,0.322496,0.268163,0.073220,-0.143411,0.093570
0.020000,4.827546,2.422295,0.327887,0.269568,0.070249,-0.148593,0.099017
0.020000,4.832936,2.422845,0.333305,0.270911,0.067171,-0.153878,0.104573
0.020000,4.838348,2.423429,0.338749,0.272191,0.063986,-0.159255,0.110237
0.020000,4.843781,2.424046,0.344217,0.273405,0.060692,-0.164714,0.116006
0.020000,4.849234,2.424697,0.349708,0.274551,0.057287,-0.170243,0.121878
0.020000,4.854703,2.425384,0.355221,0.275626,0.053770,-0.175829,0.127852
0.020000,4.860188,2.426106,0.360753,0.276629,0.050141,-0.181456,0.133925
0.020000,4.865688,2.426864,0.366304,0.277557,0.046399,-0.187109,0.140094
0.020000,4.871199,2.427659,0.371873,0.278408,0.042543,-0.192769,0.146358
0.020000,4.876720,2.428491,0.377456,0.279179,0.038577,-0.198308,0.152712
0.020000,4.882249,2.429360,0.383054,0.279869,0.034492,-0.204247,0.159155
0.020000,4.887785,2.430267,0.388663,0.280475,0.030298,-0.209712,0.165683
0.020000,4.893325,2.431212,0.394283,0.280995,0.025995,-0.215163,0.172293
0.020000,4.898867,2.432196,0.399911,0.281427,0.021584,-0.220567,0.178981
0.020000,4.904409,2.433218,0.405547,0.281768,0.017063,-0.226037,0.185744
0.020000,4.909949,2.434278,0.411187,0.282016,0.012432,-0.231521,0.192578
0.020000,4.915484,2.435377,0.416831,0.282171,0.007716,-0.235817,0.199480
0.020000,4.921013,2.436515,0.422475,0.282229,0.002899,-0.240862,0.206445
0.020000,4.926532,2.437691,0.428119,0.282188,-0.002050,-0.247420,0.213469
0.020000,4.932041,2.438906,0.433760,0.282047,-0.007021,-0.248568,0.220548
0.020000,4.937536,2.440158,0.439396,0.281805,-0.012133,-0.255626,0.227678
0.020000,4.943016,2.441449,0.445025,0.281459,-0.017302,-0.258440,0.234854
0.020000,4.948477,2.442776,0.450645,0.281008,-0.022546,-0.262191,0.242071
0.020000,4.953917,2.444140,0.456254,0.280450,-0.027862,-0.265797,0.249325
0.020000,4.959335,2.445541,0.461850,0.279785,-0.033260,-0.269887,0.256612
0.020000,4.964727,2.446977,0.467430,0.279012,-0.038650,-0.269494,0.263926
0.020000,4.970092,2.448448,0.472993,0.278128,-0.044193,-0.277160,0.271262
0.020000,4.975426,2.449952,0.478535,0.277134,-0.049699,-0.275313,0.278615
0.020000,4.980728,2.451490,0.484056,0.276030,-0.055244,-0.277239,0.285981
0.020000,4.985996,2.453060,0.489552,0.274813,-0.060844,-0.279983,0.293354
0.020000,4.991226,2.454661,0.495022,0.273483,-0.066465,-0.281051,0.300729
0.020000,4.996416,2.456292,0.500463,0.272041,-0.072098,-0.281695,0.308102
0.020000,5.001565,2.457951,0.505873,0.270487,-0.077737,-0.281903,0.315466
0.020000,5.006670,2.459638,0.511249,0.268819,-0.083370,-0.281665,0.322817
0.020000,5.011729,2.461351,0.516590,0.267039,-0.088989,-0.280973,0.330150
0.020000,5.016739,2.463088,0.521893,0.265148,-0.094586,-0.279822,0.337460
0.020000,5.021699,2.464849,0.527156,0.263145,-0.100150,-0.278205,0.344741
0.020000,5.026606,2.466631,0.532376,0.261028,-0.105831,-0.284076,0.351989
