Time (ms),Name,Value
9,"IMU_Pitch","-1.8339691162109375"
36,"IMU_Roll","-2.7672119140625"
36,"Right B Power","-0.005615234375"
36,"Right A Encoder","-13.999999046325684"
36,"Panel Intake Status","kForward"
36,"Left B Power","-0.0"
37,"Arm Current","0.0"
37,"IMU_IsCalibrating","false"
37,"Distance 0","0.0"
37,"Left B Encoder","22.999998092651367"
37,"IMU_Connected","true"
37,"Left A Encoder Conversion","42.0"
37,"IMU_Yaw","-101.65415954589844"
37,"Right B Encoder","-0.3333333134651184"
37,"Right A Power","-0.005615234375"
37,"Left B Encoder Conversion","42.0"
37,"Drivespeed","0.359375"
37,"Arm Speed","0.02"
37,"Cargo detected","true"
37,"Left A Power","-0.0"
37,"Arm Lower Limit Switch","true"
37,"Arm Upper Limit Switch","true"
37,"Y","-0.0078125"
37,"X","-0.0078125"
37,"Left A Encoder","22.999998092651367"
49471,"Drivespeed","0.359375"
49475,"X","0.0"
49475,"Y","-0.0078125"
49475,"Arm Speed","0.02"
49475,"Distance 0","0.0"
49475,"Cargo detected","true"
49475,"Left A Power","0.0028076171875"
49475,"Left B Power","0.0028076171875"
49475,"Right A Power","-0.0028076171875"
49475,"Right B Power","-0.0028076171875"
49475,"Left A Encoder","0.0"
49557,"Left B Encoder","0.0"
49557,"Right A Encoder","0.0"
49557,"Right B Encoder","0.0"
49557,"Left A Encoder Conversion","42.0"
49557,"Left B Encoder Conversion","42.0"
49557,"IMU_Connected","true"
49557,"IMU_IsCalibrating","false"
49557,"IMU_Yaw","0.13177490234375"
49557,"IMU_Pitch","-1.90869140625"
49557,"IMU_Roll","-2.0149078369140625"
49557,"Arm Upper Limit Switch","true"
49557,"Arm Lower Limit Switch","false"
49557,"Arm Current","0.0"
49557,"Panel Intake Status","kForward"
49654,"IMU_Yaw","0.1319427490234375"
49654,"IMU_Pitch","-1.911712646484375"
49654,"IMU_Roll","-2.014801025390625"
49757,"IMU_Yaw","0.1356658935546875"
49757,"IMU_Pitch","-1.9140625"
49757,"IMU_Roll","-2.0135650634765625"
49855,"IMU_Yaw","0.1349639892578125"
49855,"IMU_Pitch","-1.9127960205078125"
49855,"IMU_Roll","-2.016998291015625"
49855,"Arm Current","0.09375"
49956,"IMU_Yaw","0.1346588134765625"
49956,"IMU_Pitch","-1.91436767578125"
49956,"IMU_Roll","-2.013397216796875"
50054,"IMU_Yaw","0.13848876953125"
50054,"IMU_Pitch","-1.9149932861328125"
50054,"IMU_Roll","-2.0125274658203125"
50054,"Panel Intake Status","kOff"
50155,"IMU_Yaw","0.1356201171875"
50155,"IMU_Pitch","-1.9170684814453125"
50155,"IMU_Roll","-2.0043182373046875"
50155,"Arm Current","0.0"
50155,"Panel Intake Status","kForward"
50155,"Left B Encoder Conversion","42.0"
50155,"Left A Encoder Conversion","42.0"
50254,"IMU_Yaw","0.134979248046875"
50254,"IMU_Pitch","-1.915557861328125"
50254,"IMU_Roll","-2.001129150390625"
50254,"Arm Current","0.09375"
50254,"Left A Encoder Conversion","42.0"
50362,"IMU_Yaw","0.1337890625"
50363,"IMU_Pitch","-1.9196319580078125"
50363,"IMU_Roll","-2.003082275390625"
50363,"Panel Intake Status","kOff"
50455,"IMU_Yaw","0.12933349609375"
50455,"IMU_Pitch","-1.92144775390625"
50455,"IMU_Roll","-2.00537109375"
50455,"Arm Current","0.0"
50455,"Panel Intake Status","kForward"
50455,"Left A Encoder Conversion","42.0"
50554,"IMU_Yaw","0.1287994384765625"
50554,"IMU_Pitch","-1.923492431640625"
50554,"IMU_Roll","-2.003997802734375"
50554,"Left B Encoder Conversion","42.0"
50654,"IMU_Yaw","0.1282806396484375"
50654,"IMU_Pitch","-1.9508209228515625"
50655,"IMU_Roll","-2.009674072265625"
50755,"IMU_Yaw","0.131683349609375"
50755,"IMU_Pitch","-2.0438690185546875"
50755,"IMU_Roll","-1.9731292724609375"
50755,"Left B Encoder Conversion","42.0"
50855,"Left B Encoder Conversion","42.0"
50855,"IMU_Yaw","0.22442626953125"
50855,"IMU_Pitch","-2.079833984375"
50855,"IMU_Roll","-1.8133087158203125"
50855,"Left A Encoder Conversion","42.0"
50963,"IMU_Yaw","0.290740966796875"
50963,"IMU_Pitch","-1.9355316162109375"
50963,"IMU_Roll","-1.90643310546875"
50963,"Left B Encoder Conversion","42.0"
51060,"IMU_Yaw","0.2091522216796875"
51060,"IMU_Pitch","-2.00494384765625"
51060,"IMU_Roll","-1.9330291748046875"
51156,"IMU_Yaw","0.219573974609375"
51156,"IMU_Pitch","-1.998504638671875"
51156,"IMU_Roll","-1.9235382080078125"
51265,"IMU_Yaw","0.2455291748046875"
51265,"IMU_Pitch","-1.9343719482421875"
51265,"IMU_Roll","-1.9305419921875"
51265,"Left B Encoder Conversion","42.0"
51356,"IMU_Yaw","0.1994476318359375"
51356,"IMU_Pitch","-2.01373291015625"
51356,"IMU_Roll","-1.939453125"
51356,"Left B Encoder Conversion","42.0"
51356,"Left A Encoder Conversion","0.0"
51468,"IMU_Yaw","0.21905517578125"
51468,"IMU_Pitch","-1.989501953125"
51468,"IMU_Roll","-1.9198150634765625"
51468,"Left A Encoder Conversion","42.0"
51560,"IMU_Yaw","0.2133636474609375"
51560,"IMU_Pitch","-2.0081787109375"
51560,"IMU_Roll","-1.9306793212890625"
51656,"IMU_Yaw","0.22332763671875"
51656,"IMU_Pitch","-2.00128173828125"
51656,"IMU_Roll","-1.924957275390625"
51758,"IMU_Yaw","0.22747802734375"
51758,"IMU_Pitch","-1.9881591796875"
51758,"IMU_Roll","-1.935211181640625"
51758,"Left B Encoder Conversion","42.0"
51867,"IMU_Yaw","0.2175750732421875"
51867,"IMU_Pitch","-2.015045166015625"
51867,"IMU_Roll","-1.9322052001953125"
51867,"Left A Encoder Conversion","0.0"
51867,"Left B Encoder Conversion","0.0"
51957,"Left A Encoder Conversion","42.0"
51957,"Left B Encoder Conversion","42.0"
51957,"IMU_Yaw","0.223907470703125"
51957,"IMU_Pitch","-1.993621826171875"
51957,"IMU_Roll","-1.942108154296875"
52058,"IMU_Yaw","0.22344970703125"
52058,"IMU_Pitch","-2.0155487060546875"
52058,"IMU_Roll","-1.9337615966796875"
52174,"Arm Speed","0.128515625"
52174,"IMU_Yaw","0.22747802734375"
52174,"IMU_Pitch","-1.9999542236328125"
52174,"IMU_Roll","-1.9376068115234375"
52174,"Arm Current","17.84375"
52257,"IMU_Yaw","0.2220001220703125"
52257,"IMU_Pitch","-2.002105712890625"
52257,"IMU_Roll","-1.931396484375"
52257,"Arm Current","19.59375"
52257,"Arm Speed","0.1421875"
52257,"Left A Encoder Conversion","42.0"
52257,"Left B Encoder Conversion","0.0"
52360,"Arm Current","20.5"
52360,"Left B Encoder Conversion","42.0"
52360,"IMU_Yaw","0.2230987548828125"
52360,"IMU_Pitch","-2.0183563232421875"
52360,"IMU_Roll","-1.91363525390625"
52360,"Arm Speed","0.14765625"
52458,"Arm Current","18.78125"
52458,"IMU_Yaw","0.2313079833984375"
52458,"IMU_Pitch","-2.0019073486328125"
52458,"IMU_Roll","-1.9318695068359375"
52558,"Arm Current","18.34375"
52558,"IMU_Yaw","0.2215118408203125"
52558,"IMU_Pitch","-2.03338623046875"
52558,"IMU_Roll","-1.942596435546875"
52558,"Arm Lower Limit Switch","true"
52657,"Left B Encoder Conversion","42.0"
52657,"IMU_Yaw","0.2322235107421875"
52657,"IMU_Pitch","-2.0205535888671875"
52657,"IMU_Roll","-1.9435882568359375"
