Time (ms),Name,Value
1,"IMU_Pitch","-2.177978515625"
1,"IMU_Roll","-4.05621337890625"
1,"Channel 2 Current","0.0"
1,"Channel 6 Current","0.0"
1,"Left B Power","-0.0030517578125"
1,"Distance 0","0.0"
1,"x1","-0.7141643752661468"
1,"x2","-0.9834961879923608"
1,"Left B Encoder","718.9987182617188"
1,"y2","-0.98"
1,"IMU_Connected","true"
1,"y1","-0.79"
1,"z1","-2.2723332435598724"
1,"z2","-2.111853532746375"
1,"Channel 3 Current","0.0"
1,"Channel 7 Current","0.0"
1,"Right A Power","-0.0030517578125"
1,"Vive Auto","2.0"
1,"x_rot1","1.23"
1,"x_rot2","91.3"
1,"Drivespeed","0.390625"
1,"Channel 0 Current","0.0"
1,"Channel 4 Current","0.0"
1,"Channel 8 Current","0.0"
1,"y_rot1","24.8"
1,"y_rot2","-163.84"
1,"Right B Power","-0.0030517578125"
1,"count","1.0"
1,"Right A Encoder","226.9997100830078"
1,"IMU_IsCalibrating","false"
1,"z_rot1","93.42"
1,"z_rot2","65.71"
1,"Channel 1 Current","0.0"
1,"Channel 5 Current","0.0"
1,"Channel 9 Current","0.0"
1,"IMU_Yaw","16.820648193359375"
1,"Right B Encoder","225.99972534179688"
1,"fps","294.0"
1,"Arm Speed","0.02"
1,"Cargo detected","true"
1,"Left A Power","-0.0030517578125"
1,"Vive Auto result","false"
1,"X","-0.0078125"
1,"Y","0.0"
1,"Left A Encoder","718.9987182617188"
13,"x2","-0.9829428329501944"
13,"x2","-0.9829428329501944"
13,"z2","-2.1116937627067425"
13,"z2","-2.1116937627067425"
13,"y_rot2","-163.95"
13,"y_rot2","-163.95"
13,"z_rot1","93.44"
13,"z_rot1","93.44"
13,"x_rot2","91.29"
13,"x_rot2","91.29"
13,"z_rot2","65.7"
13,"z_rot2","65.7"
13,"x1","-0.7142119083001193"
13,"x1","-0.7142119083001193"
13,"z1","-2.2723552018715676"
13,"z1","-2.2723552018715676"
13,"x_rot1","1.22"
13,"x_rot1","1.22"
13,"y_rot1","24.79"
