dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.502459,2.422075,0.000007,0.000667,0.033333,1.666667,0.002631
0.020000,4.502438,2.422075,0.000028,0.001056,0.019485,-0.692429,0.002556
0.020000,4.502390,2.422075,0.000075,0.002377,0.066026,2.327082,0.002390
0.020000,4.502311,2.422075,0.000155,0.003962,0.079241,0.660746,0.002112
0.020000,4.502200,2.422075,0.000266,0.005547,0.079259,0.000871,0.001722
0.020000,4.502058,2.422075,0.000408,0.007133,0.079283,0.001212,0.001222
0.020000,4.501883,2.422074,0.000583,0.008719,0.079314,0.001545,0.000610
0.020000,4.501718,2.422074,0.000748,0.008270,-0.022430,-5.087201,6.283072
0.020000,4.501780,2.422074,0.000810,0.003104,-0.258299,-11.793446,6.282237
0.020000,4.501850,2.422074,0.000880,0.003507,0.020149,13.922398,6.281290
0.020000,4.501928,2.422074,0.000958,0.003908,0.020024,-0.006250,6.280231
0.020000,4.502014,2.422074,0.001044,0.004307,0.019942,-0.004116,6.279059
0.020000,4.502108,2.422073,0.001138,0.004697,0.019532,-0.020504,6.277775
0.020000,4.502210,2.422073,0.001240,0.005088,0.019559,0.001350,6.276378
0.020000,4.502319,2.422072,0.001350,0.005470,0.019066,-0.024603,6.274867
0.020000,4.502436,2.422071,0.001467,0.005849,0.018980,-0.004335,6.273242
0.020000,4.502561,2.422069,0.001591,0.006222,0.018630,-0.017506,6.271503
0.020000,4.502692,2.422068,0.001723,0.006587,0.018279,-0.017524,6.269650
0.020000,4.502831,2.422066,0.001862,0.006949,0.018098,-0.009079,6.267682
0.020000,4.502978,2.422063,0.002008,0.007304,0.017730,-0.018384,6.265597
0.020000,4.503131,2.422061,0.002161,0.007651,0.017352,-0.018913,6.263397
0.020000,4.503290,2.422057,0.002321,0.007991,0.017020,-0.016582,6.261081
0.020000,4.503457,2.422053,0.002487,0.008325,0.016674,-0.017312,6.258648
0.020000,4.503630,2.422049,0.002660,0.008651,0.016314,-0.017973,6.256097
0.020000,4.503809,2.422044,0.002840,0.008970,0.015943,-0.018561,6.253428
0.020000,4.503995,2.422038,0.003025,0.009281,0.015562,-0.019069,6.250641
0.020000,4.504186,2.422031,0.003217,0.009585,0.015172,-0.019493,6.247735
0.020000,4.504384,2.422024,0.003414,0.009880,0.014775,-0.019825,6.244709
0.020000,4.504587,2.422016,0.003618,0.010168,0.014374,-0.020061,6.241563
0.020000,4.504796,2.422007,0.003827,0.010447,0.013970,-0.020195,6.238296
0.020000,4.505010,2.421997,0.004041,0.010720,0.013631,-0.016962,6.234908
0.020000,4.505229,2.421986,0.004261,0.010985,0.013256,-0.018752,6.231398
0.020000,4.505454,2.421974,0.004486,0.011240,0.012782,-0.023705,6.227766
0.020000,4.505683,2.421961,0.004715,0.011490,0.012486,-0.014787,6.224011
0.020000,4.505917,2.421946,0.004950,0.011733,0.012122,-0.018207,6.220132
0.020000,4.506156,2.421931,0.005189,0.011967,0.011715,-0.020363,6.216130
0.020000,4.506399,2.421914,0.005433,0.012196,0.011472,-0.012154,6.212003
0.020000,4.506647,2.421896,0.005682,0.012418,0.011085,-0.019354,6.207752
0.020000,4.506899,2.421876,0.005934,0.012634,0.010801,-0.014188,6.203376
0.020000,4.507155,2.421855,0.006191,0.012846,0.010611,-0.009509,6.198873
0.020000,4.507415,2.421833,0.006452,0.013052,0.010275,-0.016771,6.194245
0.020000,4.507679,2.421808,0.006717,0.013254,0.010087,-0.009404,6.189491
0.020000,4.507947,2.421783,0.006987,0.013453,0.009967,-0.005995,6.184611
0.020000,4.508219,2.421755,0.007260,0.013649,0.009820,-0.007374,6.179604
0.020000,4.508494,2.421726,0.007536,0.013843,0.009704,-0.005772,6.174470
0.020000,4.508773,2.421695,0.007817,0.014037,0.009666,-0.001904,6.169209
0.020000,4.509056,2.421661,0.008102,0.014230,0.009676,0.000488,6.163822
0.020000,4.509342,2.421626,0.008390,0.014425,0.009738,0.003107,6.158308
0.020000,4.509632,2.421589,0.008683,0.014622,0.009857,0.005957,6.152668
0.020000,4.509926,2.421550,0.008979,0.014823,0.010038,0.009052,6.146901
0.020000,4.510223,2.421508,0.009280,0.015030,0.010351,0.015654,6.141008
0.020000,4.510525,2.421464,0.009585,0.015242,0.010616,0.013225,6.134990
0.020000,4.510831,2.421417,0.009894,0.015462,0.011010,0.019691,6.128847
0.020000,4.511141,2.421368,0.010208,0.015693,0.011523,0.025650,6.122580
0.020000,4.511455,2.421316,0.010526,0.015935,0.012122,0.029969,6.116189
0.020000,4.511774,2.421261,0.010850,0.016189,0.012705,0.029163,6.109677
0.020000,4.512098,2.421203,0.011179,0.016461,0.013587,0.044064,6.103042
0.020000,4.512428,2.421142,0.011514,0.016748,0.014322,0.036795,6.096288
0.020000,4.512763,2.421078,0.011855,0.017055,0.015396,0.053655,6.089414
0.020000,4.513104,2.421009,0.012203,0.017384,0.016404,0.050402,6.082424
0.020000,4.513451,2.420937,0.012558,0.017735,0.017595,0.059558,6.075317
0.020000,4.513805,2.420861,0.012920,0.018115,0.018963,0.068404,6.068097
0.020000,4.514167,2.420781,0.013291,0.018522,0.020350,0.069356,6.060765
0.020000,4.514536,2.420696,0.013670,0.018960,0.021905,0.077762,6.053324
0.020000,4.514914,2.420606,0.014058,0.019432,0.023596,0.084516,6.045775
